company_name,person_name,person_title
ERE M SCIENCE,MICHAEL MARRALE,CEO
ERE M SCIENCE,NATHAN LEW,BUSINESS DEVELOPMENT
ERE M SCIENCE,SAMUEL REDMOND,"VP, PRODUCT"
MAVEN COMPANY INC.,MICHAEL LEBLANC,PRODUCER CO-HOST
NIL M.M.LAFLEUR,CHRISTINA BEEBE,"DIRECTOR, E-COMMERCE"
MS RAU GRITS M.S. RAU,MARK DAUNIS,DIRECTOR DIGITAL MARKETING
M{ 4 M13 VENTURES,BRENT MURRI,PARTNER
MANSCAPED MANSCAAPED,BRIELLE FREEMAN,"SENIOR MANAGER, RETAIL MARKETING"
MANSCAPED MANSCAAPED,JIMMY LIAO,MARKETPLACES
MANSCAPED MANSCAAPED,LUCIO CALDERON,"ASSOCIATE DIRECTOR, RETENTION MARIANNE"
MANSCAPED MANSCAAPED,MICHAEL ROEHRIG,"SENIOR MANAGER, ANALYTICS"
MANSCAPED MANSCAAPED,SHANNON BAXTER,"DIR, CUSTOMER EXPERIENCE"
MANSCAPED MANSCAAPED,SIIRI LEE,"SENIOR DIRECTOR, GLOBAL ECOMMERCE"
MANSCAPED MANSCAAPED,STEPHANIE HINZE,VICE PRESIDENT GLOBAL DIRECT CONSUMER
MANSCAPED MANSCAAPED,TARA STERGER,SENIOR LOYALTY PROGRAM MANAGER
MARS MARS PETCARE,ASHLEY ORNELLAS,DIRECTOR ACTIVAITONS
MARS MARS PETCARE,BREANNA SUESS,"TEAM LEAD, NATIONAL RECRUITMENT (CONSUMER PROMOTIONS)"
MARS MARS PETCARE,GARRETT KING,"TEAM LEAD, SHOPPER MARKETING RETAIL MEDIA"
MARS MARS PETCARE,TYLER GENTRY,RETAILER CONTENT PARTNERSHIPS LEAD
â€œI MASAMI,LYNN POWER,CO-FOUNDER CEO
